year,round,round_order,college_code,college_name,branch,category,closing_rank
2021,R1,1,E039,"Dayananda Sagar Academy of Technology & Management,
Bangalore",COMPUTER SCIENCE & DESIGN,GM,15927
2021,R1,1,E039,"Dayananda Sagar Academy of Technology & Management,
Bangalore",COMPUTER SCIENCE & DESIGN,HKR,42901
2021,R1,1,E039,"Dayananda Sagar Academy of Technology & Management,
Bangalore",Computer Science & Engineering,GM,11722
2021,R1,1,E039,"Dayananda Sagar Academy of Technology & Management,
Bangalore",Computer Science & Engineering,HKR,24839
2021,R1,1,E039,"Dayananda Sagar Academy of Technology & Management,
Bangalore",Electronics & Communication Engineering,GM,19624
2021,R1,1,E039,"Dayananda Sagar Academy of Technology & Management,
Bangalore",Electronics & Communication Engineering,HKR,36771
2021,R1,1,E039,"Dayananda Sagar Academy of Technology & Management,
Bangalore",Information Science & Engineering,GM,15125
2021,R1,1,E039,"Dayananda Sagar Academy of Technology & Management,
Bangalore",Information Science & Engineering,HKR,31762
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Aeronautical Engineering,GM,15188
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Artificial Intelligence and Machine Learning,GM,2737
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Artificial Intelligence and Machine Learning,HKR,12943
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Automobile Engineering,GM,32129
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Biotechnology,GM,19207
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Biotechnology,HKR,31230
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",COMPUTER SCIENCE & DESIGN,GM,3182
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",COMPUTER SCIENCE & DESIGN,HKR,13270
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Chemical Engineering,GM,26649
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Civil Engineering,GM,37002
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Civil Engineering,HKR,42766
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Computer Science & Engineering,GM,1871
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Computer Science & Engineering,HKR,9325
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Electrical & Electronics Engineering,GM,11744
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Electrical & Electronics Engineering,HKR,37572
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Electronics & Communication Engineering,GM,5453
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Electronics & Communication Engineering,HKR,18597
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Electronics & Instrumentation Engineering,GM,17131
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Electronics & Instrumentation Engineering,HKR,29646
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Electronics and Telecommunication Engineering,GM,14810
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Information Science & Engineering,GM,2435
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Information Science & Engineering,HKR,12705
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Mechanical Engineering,HKR,26476
2021,R1,1,E040,"Dayananda Sagar College of Engineering, Bangalore",Medical Electronics Engineering,HKR,23936
2021,R1,1,E041,"Don Bosco Institute of Technology, Bangalore",Artificial Intelligence and Data Science,GM,22116
2021,R1,1,E041,"Don Bosco Institute of Technology, Bangalore",Artificial Intelligence and Data Science,HKR,36237
2021,R1,1,E041,"Don Bosco Institute of Technology, Bangalore",Computer Science & Engineering,GM,25071
2021,R1,1,E041,"Don Bosco Institute of Technology, Bangalore",Computer Science & Engineering( Artificial Intelligence & Machine Learning),GM,28657
2021,R1,1,E041,"Don Bosco Institute of Technology, Bangalore",Electrical & Electronics Engineering,GM,36099
2021,R1,1,E041,"Don Bosco Institute of Technology, Bangalore",Electronics & Communication Engineering,GM,35570
2021,R1,1,E041,"Don Bosco Institute of Technology, Bangalore",Information Science & Engineering,GM,31741
2021,R1,1,E041,"Don Bosco Institute of Technology, Bangalore",Mechanical Engineering,GM,42667
2021,R1,1,E042,"Dr. Ambedkar Institute of Technology, Bangalore",Aeronautical Engineering,GM,31882
2021,R1,1,E042,"Dr. Ambedkar Institute of Technology, Bangalore",Civil Engineering,GM,42121
2021,R1,1,E042,"Dr. Ambedkar Institute of Technology, Bangalore",Computer Science & Engineering,GM,10120
2021,R1,1,E042,"Dr. Ambedkar Institute of Technology, Bangalore",Computer Science & Engineering,HKR,26247
2021,R1,1,E042,"Dr. Ambedkar Institute of Technology, Bangalore",Electronics & Communication Engineering,GM,16094
2021,R1,1,E042,"Dr. Ambedkar Institute of Technology, Bangalore",Information Science & Engineering,GM,11696
2021,R1,1,E042,"Dr. Ambedkar Institute of Technology, Bangalore",Information Science & Engineering,HKR,28219
2021,R1,1,E042,"Dr. Ambedkar Institute of Technology, Bangalore",Medical Electronics Engineering,HKR,42757
2021,R1,1,E043,"Yenepoya Institute of Technology, Moodbidri (formerly
known as Dr. M V Shetty Institute of Technology)",Computer Science & Engineering,GM,40963
2021,R1,1,E048,"East West Institute of Technology, Bangalore",Artificial Intelligence and Data Science,GM,32571
2021,R1,1,E048,"East West Institute of Technology, Bangalore",Artificial Intelligence and Machine Learning,GM,40536
2021,R1,1,E048,"East West Institute of Technology, Bangalore",Computer Science & Engineering,GM,38546
2021,R1,1,E048,"East West Institute of Technology, Bangalore",Electrical & Electronics Engineering,GM,25296
