year,round_no,college_code,college_name,branch,category,closing_rank
2024,1,E016,"KLE Technological University (Formerly known as BVBCET)-Vidyanagar, Hubbali",B.ARCH,KKR,
2024,1,E026,"BLDEA""s V.P. Dr. P.G. Halakatti College of Engineering & Technology-Ashram Road, Vijayapura",B.ARCH,GM,380.0
2024,1,E026,"BLDEA""s V.P. Dr. P.G. Halakatti College of Engineering & Technology-Ashram Road, Vijayapura",B.ARCH,KKR,
2024,1,E029,"BMS School of Architecture-Yelahanka, Bengaluru",B.ARCH,GM,301.0
2024,1,E029,"BMS School of Architecture-Yelahanka, Bengaluru",B.ARCH,KKR,
2024,1,E039,"Dayananda Sagar Academy of Technology & Management-Kanakapura Main Road, Bengaluru",B.ARCH,GM,578.0
2024,1,E039,"Dayananda Sagar Academy of Technology & Management-Kanakapura Main Road, Bengaluru",B.ARCH,KKR,
2024,1,E054,"GSSS School of Architecture for Women-K R S Road, Mysuru",B.ARCH,GM,604.0
2024,1,E054,"GSSS School of Architecture for Women-K R S Road, Mysuru",B.ARCH,KKR,
2024,1,E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",B.ARCH,GM,619.0
2024,1,E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",B.ARCH,KKR,
2024,1,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",B.ARCH,GM,223.0
2024,1,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",B.ARCH,KKR,569.0
2024,1,E138,"Srinivas Institute of Technology-GHS Road, Mangaluru",B.ARCH,GM,339.0
2024,1,E138,"Srinivas Institute of Technology-GHS Road, Mangaluru",B.ARCH,KKR,
2024,1,E163,"SJB School of Architecture & Planning-Kengeri, Bengaluru",B.ARCH,GM,357.0
2024,1,E163,"SJB School of Architecture & Planning-Kengeri, Bengaluru",B.ARCH,KKR,
2024,1,E164,"Reva University-Yelahanka, Bengaluru",B.ARCH,GM,472.0
2024,1,E164,"Reva University-Yelahanka, Bengaluru",B.ARCH,KKR,
2024,1,E168,"Mysore School of Architecture-Lingambudi, Mysuru",B.ARCH,GM,509.0
2024,1,E168,"Mysore School of Architecture-Lingambudi, Mysuru",B.ARCH,KKR,
2024,1,E169,"R.R.School of Architecture - Chikkabanavara, Bengaluru",B.ARCH,GM,627.0
2024,1,E169,"R.R.School of Architecture - Chikkabanavara, Bengaluru",B.ARCH,KKR,
2024,1,E175,"Gopalan School of Architecture and Planning-Hoodi, Bengaluru",B.ARCH,GM,492.0
2024,1,E175,"Gopalan School of Architecture and Planning-Hoodi, Bengaluru",B.ARCH,KKR,
2024,1,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",B.ARCH,GM,171.0
2024,1,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",B.ARCH,KKR,589.0
2024,1,E178,"Wadiyar Centre for Architecture-Chamaraja Mohalla, Mysuru",B.ARCH,GM,217.0
2024,1,E178,"Wadiyar Centre for Architecture-Chamaraja Mohalla, Mysuru",B.ARCH,KKR,
2024,1,E181,"Beary's Enviro-Architecture Design School-Near Mangalore University, Mangaluru",B.ARCH,GM,606.0
2024,1,E181,"Beary's Enviro-Architecture Design School-Near Mangalore University, Mangaluru",B.ARCH,KKR,
2024,1,E186,"Nitte School of Architecture Planning and Design-Yelahanka, Bengaluru",B.ARCH,GM,574.0
2024,1,E186,"Nitte School of Architecture Planning and Design-Yelahanka, Bengaluru",B.ARCH,KKR,
2024,1,E187,"CMR University Bagalur-Chagalatti, Bengaluru",B.ARCH,GM,556.0
2024,1,E187,"CMR University Bagalur-Chagalatti, Bengaluru",B.ARCH,KKR,
2024,1,E189,"BMS College of Architecture-Bull Temple Road, Bengaluru",B.ARCH,GM,108.0
2024,1,E189,"BMS College of Architecture-Bull Temple Road, Bengaluru",B.ARCH,KKR,257.0
2024,1,E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",B.ARCH,GM,584.0
2024,1,E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",B.ARCH,KKR,
2024,1,E193,"Dayananda Sagar College of Architecture-Kumaraswamy Layout, Bengaluru",B.ARCH,GM,473.0
2024,1,E193,"Dayananda Sagar College of Architecture-Kumaraswamy Layout, Bengaluru",B.ARCH,KKR,539.0
2024,2,E002,"Acharya's NRV School of Architecture-Soladevanahalli, Bengaluru",B.ARCH,KKR,
2024,2,E008,"Angadi School of Architecture-Savagaon Road, Belagavi",B.ARCH,KKR,
2024,2,E016,"KLE Technological University (Formerly known as BVBCET)-Vidyanagar, Hubbali",B.ARCH,KKR,
2024,2,E026,"BLDEA""s V.P. Dr. P.G. Halakatti College of Engineering & Technology-Ashram Road, Vijayapura",B.ARCH,KKR,
2024,2,E029,"BMS School of Architecture-Yelahanka, Bengaluru",B.ARCH,KKR,
2024,2,E039,"Dayananda Sagar Academy of Technology & Management-Kanakapura Main Road, Bengaluru",B.ARCH,KKR,
2024,2,E054,"GSSS School of Architecture for Women-K R S Road, Mysuru",B.ARCH,KKR,
