year,round_no,college_code,college_name,branch,category,closing_rank,course_name,course_code
2024,1,E175,"Gopalan School of Architecture and Planning-Hoodi, Bengaluru",AT,GM,492.0,Architecture,AT
2024,1,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",AT,GM,171.0,Architecture,AT
2024,1,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",AT,KKR,589.0,Architecture,AT
2024,1,E178,"Wadiyar Centre for Architecture-Chamaraja Mohalla, Mysuru",AT,GM,217.0,Architecture,AT
2024,1,E181,"Beary's Enviro-Architecture Design School-Near Mangalore University, Mangaluru",AT,GM,606.0,Architecture,AT
2024,1,E186,"Nitte School of Architecture Planning and Design-Yelahanka, Bengaluru",AT,GM,574.0,Architecture,AT
2024,1,E187,"CMR University Bagalur-Chagalatti, Bengaluru",AT,GM,556.0,Architecture,AT
2024,1,E189,"BMS College of Architecture-Bull Temple Road, Bengaluru",AT,GM,108.0,Architecture,AT
2024,1,E189,"BMS College of Architecture-Bull Temple Road, Bengaluru",AT,KKR,257.0,Architecture,AT
2024,1,E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",AT,GM,584.0,Architecture,AT
2024,1,E193,"Dayananda Sagar College of Architecture-Kumaraswamy Layout, Bengaluru",AT,GM,473.0,Architecture,AT
2024,1,E193,"Dayananda Sagar College of Architecture-Kumaraswamy Layout, Bengaluru",AT,KKR,539.0,Architecture,AT
2024,1,E163,"SJB School of Architecture & Planning-Kengeri, Bengaluru",BD,GM,598.0,Bachelor Of Design,BD
2024,1,E186,"Nitte School of Architecture Planning and Design-Yelahanka, Bengaluru",BP,GM,603.0,Bachelor Of Urban & Regional Planning,BP
2024,2,E189,"BMS College of Architecture-Bull Temple Road, Bengaluru",AT,KKR,569.0,Architecture,AT
2024,2,E002,"Acharya's NRV School of Architecture-Soladevanahalli, Bengaluru",AT,GM,558.0,Architecture,AT
2024,2,E029,"BMS School of Architecture-Yelahanka, Bengaluru",AT,GM,511.0,Architecture,AT
