College Name,College Code,Location,Course,Course Code,Seat Category,Closing_Rank,Predicted_Closing_Rank
"P.E.S.College of Engineering-PES College Road, Mandya",E089,MANDYA,"AR-
Automation & Robotics Engineering",AR,GM,52714,60501
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,"AR-
Automation & Robotics Engineering",AR,GM,11261,62830
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",Unknown,Unknown,"AR-
Automation & Robotics Engineering",AR,GM,48973,64296
"Presidency University-Yelahanka, Bengaluru",E173,BENGALURU,"AR-
Automation & Robotics Engineering",AR,GM,107590,60329
"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",Unknown,Unknown,"AR-
Automation & Robotics Engineering",AR,GM,73943,62916
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,"AR-
Automation & Robotics Engineering",AR,GM,9105,62830
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,"AR-
Automation & Robotics Engineering",AR,GM,2852,61019
"R V College of Engineering-Mysore Road, Bengaluru",E095,BENGALURU,"AR-
Automation & Robotics Engineering",AR,GM,1091,60243
"RNS Institute of Technology-R R Nagar Post, Bengaluru",E104,BENGALURU,"AR-
Automation & Robotics Engineering",AR,GM,50778,60070
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",Unknown,Unknown,"AR-
Automation & Robotics Engineering",AR,GM,106533,64296
"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",Unknown,Unknown,"AR-
Automation & Robotics Engineering",AR,GM,56380,62485
"Presidency University-Yelahanka, Bengaluru",E173,BENGALURU,"AR-
Automation & Robotics Engineering",AR,GM,82366,60329
"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",Unknown,Unknown,"AR-
Automation & Robotics Engineering",AR,GM,73602,61277
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",Unknown,Unknown,AS-Aerospace Engineering,AS,GM,90119,63581
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,AS-Aerospace Engineering,AS,GM,14008,59873
"R V College of Engineering-Mysore Road, Bengaluru",E095,BENGALURU,AS-Aerospace Engineering,AS,GM,6429,59097
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",Unknown,Unknown,AS-Aerospace Engineering,AS,GM,75474,63150
"Presidency University-Yelahanka, Bengaluru",E173,BENGALURU,AS-Aerospace Engineering,AS,GM,68743,59183
"BMS College of Engineering-Basavanagudi, Bengaluru",E027,BENGALURU,AS-Aerospace Engineering,AS,GM,44795,62719
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,AS-Aerospace Engineering,AS,GM,53019,61684
"KLE Technological University  Formerly called as KLE Dr. M.S. Sheshgiri College of Engineering and
Technology-Udyambag, Belagavi",Unknown,Unknown,AS-Aerospace Engineering,AS,GM,67577,60218
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,AS-Aerospace Engineering,AS,GM,42698,59873
"R V College of Engineering-Mysore Road, Bengaluru",E095,BENGALURU,AS-Aerospace Engineering,AS,GM,13038,59097
